Units,words,mean_cn,sentence,sentence_tra
Unit5,case,n.例子；箱子；情况v. 包围；把…装于容器中,"As a lawyer, I have lots of cases to deal with.",作为一个律师，我有大量的案件需要处理。
Unit5,error,n.错误，过失,"If you make an error, you can just erase it and try again.",如果你写错了，擦掉重写一遍就好了。
Unit5,queue,,At school we have to queue to get lunch.,在学校我们得排队打饭。
Unit5,transport,n. 运输; 运输工具;  vt. 运输; 输送; 使狂喜; 流放;  , The goose is transporting a duck to cross over the river.,这只鹅正驮着一只鸭子过河。
Unit5,grumble,v.埋怨；发牢骚；咕哝n.怨言；满腹牢骚,The old man grumbles about his problems.,老人对他的问题满腹牢骚。
Unit5,temporarily,adv.暂时地，临时地,Our furniture's just here temporarily while we paint our house.,我们的家具只是在我们刷漆期间临时使用的。
Unit5,contact,v. 接触；联系n. 接触；联系,Please contact me by phone or email.,请通过电话或电子邮件与我联系。
Unit5,tough,adj. 坚韧的；健壮的；强硬的棘手的；困难的 ,He looks like a tough guy--you don't want to fight with him.,他看起来很强壮，你不会想要和他打架的。
Unit5,violence,n.暴力，激烈,Violence doesn't solve any problems.,暴力解决不了任何问题。
Unit5,guilty,adj.内疚的；有罪的,"Ok, we're guilty - just please don't kill us!",好吧，我们有罪。请不要杀我们。
Unit5,behaviour,"n.行为,举止;(机器的)特性",I will not tolerate this bad behaviour in my classroom!,我不能容忍这种不良行为在我的教室里！
Unit5,conscience,n.良心，良知,"I want to do something bad, but my conscience tells me not to.",我想做些坏事，但是我的良心告诉我不能做。
Unit5,smash,v.粉碎，猛冲，击溃n.破碎(声)，猛撞，巨大的成功,The car smashed into the car in front of it.,这辆车猛冲撞上前面那辆车。
Unit5,note,n.笔记，便条，注释；纸币v.注意，记录,I use this notebook for my university lecture notes and to note down story ideas.,我用这个笔记本在大学讲座上做笔记，还会记下写故事的想法。
Unit5,miss,,He missed the target on every try.,他每一发都脱靶。
Unit4,elastic,n. 弹性织物;  松紧带;  橡皮圈;  adj. 弹性的;  可伸缩的;  ,"I want my limbs to be elastic, just like Luffy!",我希望我的四肢可以任意伸缩，就像路飞一样！
Unit4,disturb,v.打扰；妨碍；使烦恼,His snoring really disturbs me at night!,在晚上他的呼噜声真的很打扰我！
Unit4,vest,,My utility vest is useful at work because it can hold all of my tools.,我的实用背心在工作时很有用，因为它能装很多工具。
Unit4,absence,"n: 缺席, 外出期, 缺乏, 心不在焉;  ",What is the reason for everyone's absence?,为什么今天所有人都缺席？
Unit4,nasty,n. 令人不快的事物;  adj. 令人讨厌的; 严重的; 恶劣的; 下流的;,Her brother is so nasty to her--he's always fighting and pulling her hair.,她弟弟总是和她打架，拉扯她的头发，很令人讨厌。
Unit4,bite,v.咬，叮，螫；剌穿,I took a big bite out of my sandwich.,我猛咬了一大口三明治。
Unit4,tent,n.帐篷,The circus show was inside a big tent.,马戏表演在一个大帐篷里进行。
Unit4,bored,"adj. 无聊的, 无趣的, 烦人的;",How can you be bored by something as interesting as ancient history? ,古代历史这么有趣，你怎么会觉得无聊呢？
Unit4,shelter,n.隐蔽住，躲避处(常用来指住处)；庇护v.遮蔽，掩护，庇护,They build shelters from ice to keep themselves warm.,他们用冰建造躲避处来抵御严寒。
Unit4,rate,n.比率，速度，价格v.评估，被评价,My heart was beating at a normal rate.,我的心脏以正常速率跳动着。
Unit4,amphibian,n.两栖动物；水陆两用飞机和车辆adj.两栖类的；[车辆] 水陆两用的；具有双重性格的,Frogs are one kind of amphibian.,青蛙是一种两栖动物。
Unit4,artificial,adj.人造的，假的，非原产地的,Maybe in a hundred years there will be artificial life.,也许一百年后会有人造生命。
Unit4,view,n. 视野；见解； 风景v. 看，俯瞰；视察,What an amazing view from up here!,山顶的风景太赞了！
Unit4,emerge,v.出现，浮现，冒出,The plant emerges from out of the road surface.,植物从路表破土而出。
Unit4,pest,n. 讨厌的人(或东西);  害虫;  ,Pests are those irritating and harmful insects. ,害虫就是那些讨厌又有害的昆虫。
Unit4,poison,,Don't drink that poison. It will kill you. ,不要喝那瓶毒药，它会置你于死地。
Unit4,rarely,adv.很少，难得,Golden coffee beans are rarely found.,金色的咖啡豆很少被人发现。
Unit4,hibernate,"vi. 冬眠, 蛰居;  ",Bears can sleep for months when they hibernate during the winter. ,冬天熊会冬眠数月。
Unit4,bulletproof,"adj. 防弹的, 枪弹不入的;  vt. 使能防弹;  ",This vehicle's thick steel is bulletproof.,这辆车厚厚的钢板是防弹的。
Unit4,continuously,adv. 连续不断地 ,"Sand falls continuously in an hourglass, just like time itself.",在沙漏中，沙子连续不断地漏下，就像时间本身一样。
Unit4,pulse,n. 脉搏;  脉冲;  脉动;  vi. 跳动;  搏动;  vt. 使跳动;  有节奏地驱动;  ,My pulse is too fast--I need to slow down for a bit.,我的脉搏跳得太快了，我需要慢下来一点儿。
Unit4,upside down,"adv.颠倒, 混乱",Why are you sitting on the couch upside down?,为什么你颠倒着坐在沙发上？
Unit4,treat,v.对待；治疗；讨论；请客n.请客,I went to the dentist's office to get my teeth treated.,我去牙医那里治疗我的牙齿。
Unit4,creature,n.人；生物；动物,"Is your favorite creature the dog, cat, or rabbit?",你最喜欢的动物是狗，猫还是兔子？
Unit4,disorder,n. 混乱;  不端行为;  动乱;  vt. 使混乱;  使紊乱;  ,She can't find the skirt because of the disorder of her room.,因为房间杂乱无章，她找不到裙子了。
Unit4,stir,v. 搅拌,I let my kids stir the batter for me.,我让孩子帮我搅拌面糊。
Unit4,survive,"vi. 活下来, 幸存;  vt. 比…活得长;  幸免于;  ",It's hard for plants to survive in the desert.,对植物来说，在沙漠里幸存很困难。
Unit4,occur,vi. 发生;  出现;  ,Car accidents can occur very quickly.,车祸会发生在一瞬间。
